DRUGBANK,name,groups,DRUGS PRODUCT DATABASE (DPD),PUBCHEM SUBSTANCE,KEGG DRUG,PHARMGKB,UNIPROTKB,THERAPEUTIC TARGETS DATABASE,WIKIPEDIA,CHEMBL,RXCUI,GENBANK,KEGG COMPOUND,CHEBI,PUBCHEM COMPOUND,CHEMSPIDER,BINDINGDB,IUPHAR,GUIDE TO PHARMACOLOGY,PDB,ZINC
DB00001,Lepirudin,approved,11916,46507011,D06880,PA450195,P01050,DAP000541,Lepirudin,CHEMBL1201666,237057,,,,,,,,,,
DB00002,Cetuximab,approved,13175,46507042,D03455,PA10040,,DNC000788,Cetuximab,CHEMBL1201577,318341,J00228,,,,,,,,,
DB00003,Dornase alfa,approved,650,46507792,,PA10318,P24855,DAP000981,Dornase_alfa,CHEMBL1201431,337623,M55983,,,,,,,,,
DB00004,Denileukin diftitox,"approved,investigational",,46506950,,PA164750594,P00587,DAP001098,Denileukin_diftitox,CHEMBL1201550,214470,V01536,,,,,,,,,
DB00005,Etanercept,"approved,investigational",12032,46506732,D00742,PA449515,P20333,DNC000605,Etanercept,CHEMBL1201572,214555,M32315,C07897,,,,,,,,
DB00006,Bivalirudin,"approved,investigational",12945,46507415,D03136,PA10032,,DAP000542,Bivalirudin,CHEMBL2103749,60819,,,59173,16129704,10482069,50248103,,,,
DB00007,Leuprolide,"approved,investigational",1756,46507635,D08113,PA450203,,DAP000020,Leuprolide,CHEMBL1201199,42375,,C07612,6427,,571356,50369395,,,,
DB00008,Peginterferon alfa-2a,"approved,investigational",13246,46504860,,PA164749390,P01563,DAP001278,Peginterferon_alfa-2a,CHEMBL1201560,120608,J00207,,,,,,,,,
DB00009,Alteplase,approved,7297,46507035,D02837,PA164776730,P00750,DAP000203,Alteplase,CHEMBL1201593,8410,L00153,,,,,,,,,
DB00011,Interferon alfa-n1,"approved,investigational",7651,46506227,,PA164746538,P01563,DAP001280,,CHEMBL2108509,202912,J00207,,,,,,,,,
DB00012,Darbepoetin alfa,"approved,investigational",12550,46504480,,PA164743138,P01588,DAP000800,Darbepoetin_alfa,CHEMBL1201566,283838,X02158,,,,,,,,,
DB00014,Goserelin,approved,11167,46507336,D00573,PA164747674,,DAP000023,Goserelin,CHEMBL1201247,50610,,,5523,5311128,4470656,,,,,
DB00015,Reteplase,"approved,investigational",11534,46506092,,PA164743728,P00750,DAP001195,Reteplase,CHEMBL2107885,76895,L00153,,,,,,,,,
DB00016,Erythropoietin,approved,299,46508122,,PA10072,P01588,DAP000202,Epoetin_alfa,CHEMBL1201565,105694,X02158,,,,,,,,,
DB00017,Salmon calcitonin,"approved,investigational",13186,46506061,D00249,PA448715,P01263,DAP001302,Calcitonin,,36118,Y00765,C06865,,,,,,,,
DB00018,Interferon alfa-n3,"approved,investigational",,46508902,,PA164746228,,DAP001281,Interferon_alfa-n3,CHEMBL2109047,612937,,,,,,,,,,
DB00019,Pegfilgrastim,approved,12313,46505853,D06889,PA164781387,P09919,DAP000395,Pegfilgrastim,CHEMBL1201568,338036,X03438,,,,,,,,,
DB00020,Sargramostim,"approved,investigational",,46507000,,PA164748631,P04141,DAP001053,Sargramostim,CHEMBL1201670,69634,M13207,,,,,,,,,
DB00022,Peginterferon alfa-2b,approved,12036,46506669,,PA164784024,P01563,DAP001279,Peginterferon_alfa-2b,CHEMBL1201561,253453,,,,,,,,,,
DB00023,Asparaginase Escherichia coli,"approved,investigational",2433,46507633,,PA448492,P37595,,Asparaginase,CHEMBL2108989,1156,U00096,,,,,,,,,
DB00024,Thyrotropin alfa,"approved,vet_approved",12790,46505696,,PA164746560,P01225,DAP001248,Thyrotropin_Alfa,CHEMBL1201533,4952,M16647,,,,,,,,,
