DRUGBANK,name,groups
DB01611,Hydroxychloroquine,approved
DB00358,Mefloquine,"approved,investigational"
DB01218,Halofantrine,approved
DB09274,Artesunate,"approved,investigational"
DB00908,Quinidine,"approved,investigational"
DB01117,Atovaquone,approved
DB01087,Primaquine,approved
DB00608,Chloroquine,"approved,investigational,vet_approved"
DB00613,Amodiaquine,"approved,investigational"
DB01131,Proguanil,approved
DB00250,Dapsone,"approved,investigational"
DB01299,Sulfadoxine,"approved,investigational"
DB00205,Pyrimethamine,"approved,investigational,vet_approved"
DB00468,Quinine,approved
DB06608,Tafenoquine,"approved,investigational"
DB06697,Artemether,approved
DB13851,Artemotil,approved
DB06708,Lumefantrine,approved
DB14763,Cycloguanil,approved
