DRUGBANK,name,groups
DB00852,Pseudoephedrine,approved
DB00397,Phenylpropanolamine,"approved,vet_approved,withdrawn"
DB00420,Promazine,"approved,vet_approved"
DB00427,Triprolidine,approved
DB00434,Cyproheptadine,approved
DB00145,Glycine,"approved,nutraceutical,vet_approved"
DB00201,Caffeine,approved
DB00283,Clemastine,"approved,investigational"
DB00318,Codeine,"approved,illicit"
DB00455,Loratadine,"approved,investigational"
DB00462,Methscopolamine bromide,approved
DB00332,Ipratropium,"approved,experimental"
DB00341,Cetirizine,approved
DB00366,Doxylamine,"approved,vet_approved"
DB00388,Phenylephrine,approved
DB00514,Dextromethorphan,approved
DB08799,Antazoline,approved
DB08936,Chlorcyclizine,approved
DB00557,Hydroxyzine,approved
DB01364,Ephedrine,approved
DB00719,Azatadine,approved
DB00747,Scopolamine,"approved,investigational"
DB00748,Carbinoxamine,approved
DB00788,Naproxen,"approved,vet_approved"
DB00874,Guaifenesin,"approved,investigational,vet_approved"
DB00902,Methdilazine,approved
DB00935,Oxymetazoline,"approved,investigational"
DB00956,Hydrocodone,"approved,illicit,investigational"
DB00967,Desloratadine,"approved,investigational"
DB00792,Tripelennamine,"approved,vet_approved"
DB00835,Brompheniramine,approved
DB01114,Chlorpheniramine,approved
DB01146,Diphenylpyraline,"approved,investigational"
DB01176,Cyclizine,approved
DB01551,Dihydrocodeine,"approved,illicit"
DB01237,Bromodiphenhydramine,approved
DB01240,Epoprostenol,approved
DB01246,Alimemazine,"approved,vet_approved"
DB01619,Phenindamine,approved
DB01620,Pheniramine,approved
DB04837,Clofedanol,"approved,withdrawn"
DB06691,Mepyramine,"approved,vet_approved"
DB06694,Xylometazoline,"approved,investigational"
DB06715,Potassium Iodide,approved
DB06764,Tetryzoline,approved
DB06767,Ammonium chloride,"approved,investigational,vet_approved"
DB09154,Sodium citrate,"approved,investigational"
DB09488,Acrivastine,approved
DB00588,Fluticasone propionate,approved
DB00126,Ascorbic acid,"approved,nutraceutical"
DB00163,Vitamin E,"approved,nutraceutical,vet_approved"
DB00316,Acetaminophen,approved
DB08797,Salicylamide,approved
DB00936,Salicylic acid,"approved,investigational,vet_approved"
DB00945,Acetylsalicylic acid,"approved,vet_approved"
DB00435,Nitric Oxide,approved
DB00641,Simvastatin,approved
DB00063,Eptifibatide,"approved,investigational"
DB01109,Heparin,"approved,investigational"
DB00274,Cefmetazole,"approved,investigational"
DB00456,Cefalotin,"approved,investigational,vet_approved"
DB00681,Amphotericin B,"approved,investigational"
DB00595,Oxytetracycline,"approved,investigational,vet_approved"
DB01332,Ceftizoxime,"approved,withdrawn"
DB01333,Cefradine,approved
DB00618,Demeclocycline,approved
DB00759,Tetracycline,"approved,vet_approved"
DB00833,Cefaclor,approved
DB01017,Minocycline,"approved,investigational"
DB01139,Cefapirin,"approved,vet_approved"
DB01059,Norfloxacin,approved
DB01165,Ofloxacin,approved
DB01208,Sparfloxacin,"approved,investigational,withdrawn"
DB02703,Fusidic acid,"approved,investigational"
DB01326,Cefamandole,"approved,experimental"
DB01328,Cefonicid,"approved,investigational"
DB00620,Triamcinolone,"approved,vet_approved"
